Top-1 Accuracy,0.4815
Top-5 Accuracy,0.4815
Top-1 Accuracy (>= 3 models),0.1875
Top-5 Accuracy (>= 3 models),0.1875
Average (>= 12 models),,nan,nan,nan
Average (>= 11 models),,nan,nan,nan
Average (>= 10 models),,nan,nan,nan
Average (>= 9 models),,0.73,0.55,0.62
Average (>= 8 models),,0.73,0.48,0.64
Average (>= 7 models),,0.73,0.59,0.61
Average (>= 6 models),,0.74,0.57,0.63
Average (>= 5 models),,0.75,0.57,0.64
Average (>= 4 models),,0.78,0.64,0.65
Average (>= 3 models),,0.85,0.7,0.71
Average,,0.91,0.5,0.81
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.yaml,<font color='red'>combination_185</font> (Actual: <font color='blue'>combination_256</font>),0.73,0.4,0.65
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y_x3.yaml,<font color='red'>combination_369</font> (Actual: <font color='blue'>combination_255</font>),0.73,0.55,0.62
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_x3.yaml,<font color='red'>combination_93</font> (Actual: <font color='blue'>combination_52</font>),0.77,0.71,0.63
model_schedules_g_m_resnet50_resnext50_s_t_x3.yaml,<font color='red'>combination_47</font> (Actual: <font color='blue'>combination_64</font>),0.78,0.55,0.67
model_schedules_g_m_resnet50_resnext50_t_x3.yaml,"<font color='red'>combination_24</font> (Actual: <font color='blue'>combination_31</font>, <font color='blue'>combination_32</font>)",0.8,0.57,0.69
model_schedules_g_m_r_t_x3.yaml,<font color='red'>combination_12</font> (Actual: <font color='blue'>combination_15</font>),0.89,0.87,0.72
model_schedules_g_m_r_x3.yaml,<font color='red'>combination_6</font> (Actual: <font color='blue'>combination_8</font>),0.91,0.78,0.75
model_schedules_g_m_t_x3.yaml,<font color='purple'>combination_6</font>,1.0,0.83,0.83
model_schedules_g_m_x3.yaml,<font color='purple'>combination_3</font>,1.0,0.48,0.9
model_schedules_gpt2_x3.yaml,<font color='purple'>combination_2</font>,1.0,0.0,1.0
model_schedules_g_r_v_x3.yaml,<font color='red'>combination_6</font> (Actual: <font color='blue'>combination_8</font>),0.93,0.67,0.8
model_schedules_g_r_y_x3.yaml,<font color='purple'>combination_7</font>,1.0,0.82,0.84
model_schedules_g_t_x3.yaml,"<font color='red'>combination_4</font> (Actual: <font color='blue'>combination_2</font>, <font color='blue'>combination_3</font>)",-,-,-
model_schedules_g_t_y_x3.yaml,<font color='red'>combination_7</font> (Actual: <font color='blue'>combination_8</font>),0.98,0.97,0.79
model_schedules_mnasnet_x3.yaml,<font color='purple'>combination_1</font>,0.97,0.31,0.91
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_x3.yaml,<font color='red'>combination_25</font> (Actual: <font color='blue'>combination_3</font>),0.77,0.54,0.66
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x3.yaml,<font color='red'>combination_49</font> (Actual: <font color='blue'>combination_127</font>),0.69,0.69,0.55
model_schedules_m_resnet50_resnext50_x3.yaml,<font color='purple'>combination_4</font>,1.0,0.7,0.86
model_schedules_m_r_t_y_x3.yaml,<font color='red'>combination_7</font> (Actual: <font color='blue'>combination_16</font>),0.85,0.77,0.7
model_schedules_resnet50_x3.yaml,<font color='purple'>combination_2</font>,1.0,0.18,0.96
model_schedules_resnext50_x3.yaml,<font color='purple'>combination_2</font>,1.0,0.0,1.0
model_schedules_r_t_v_y_x3.yaml,<font color='red'>combination_13</font> (Actual: <font color='blue'>combination_11</font>),0.78,0.72,0.64
model_schedules_shufflenet-v2-12_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_squeezenet1.0-12_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_tiny-llama-chat-onnx_x3.yaml,<font color='purple'>combination_2</font>,1.0,0.0,1.0
model_schedules_vgg19_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_yolov4_x3.yaml,<font color='purple'>combination_1</font>,1.0,1.0,0.8
