Top-1 Accuracy,0.6667
Top-5 Accuracy,0.6667
Top-1 Accuracy (>= 3 models),0.4375
Top-5 Accuracy (>= 3 models),0.4375
Average (>= 12 models),,nan,nan,nan
Average (>= 11 models),,nan,nan,nan
Average (>= 10 models),,nan,nan,nan
Average (>= 9 models),,0.84,0.69,0.7
Average (>= 8 models),,0.8,0.66,0.68
Average (>= 7 models),,0.82,0.65,0.69
Average (>= 6 models),,0.83,0.61,0.7
Average (>= 5 models),,0.83,0.6,0.71
Average (>= 4 models),,0.87,0.67,0.74
Average (>= 3 models),,0.91,0.72,0.77
Average,,0.95,0.5,0.85
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.yaml,<font color='red'>combination_64</font> (Actual: <font color='blue'>combination_256</font>),0.77,0.62,0.65
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y_x3.yaml,<font color='red'>combination_113</font> (Actual: <font color='blue'>combination_255</font>),0.84,0.69,0.7
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_x3.yaml,<font color='red'>combination_16</font> (Actual: <font color='blue'>combination_52</font>),0.88,0.63,0.75
model_schedules_g_m_resnet50_resnext50_s_t_x3.yaml,<font color='red'>combination_33</font> (Actual: <font color='blue'>combination_64</font>),0.86,0.52,0.76
model_schedules_g_m_resnet50_resnext50_t_x3.yaml,"<font color='red'>combination_20</font> (Actual: <font color='blue'>combination_31</font>, <font color='blue'>combination_32</font>)",0.84,0.57,0.73
model_schedules_g_m_r_t_x3.yaml,<font color='purple'>combination_15</font>,0.98,0.76,0.83
model_schedules_g_m_r_x3.yaml,<font color='red'>combination_6</font> (Actual: <font color='blue'>combination_8</font>),0.91,0.78,0.75
model_schedules_g_m_t_x3.yaml,<font color='purple'>combination_6</font>,1.0,0.83,0.83
model_schedules_g_m_x3.yaml,<font color='purple'>combination_3</font>,1.0,0.48,0.9
model_schedules_gpt2_x3.yaml,<font color='purple'>combination_2</font>,1.0,0.0,1.0
model_schedules_g_r_v_x3.yaml,<font color='purple'>combination_8</font>,1.0,0.67,0.87
model_schedules_g_r_y_x3.yaml,<font color='purple'>combination_7</font>,1.0,0.82,0.84
model_schedules_g_t_x3.yaml,<font color='purple'>combination_2</font>,1.0,0.0,1.0
model_schedules_g_t_y_x3.yaml,<font color='purple'>combination_8</font>,1.0,0.98,0.8
model_schedules_mnasnet_x3.yaml,<font color='purple'>combination_1</font>,0.97,0.31,0.91
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_x3.yaml,<font color='red'>combination_11</font> (Actual: <font color='blue'>combination_3</font>),0.83,0.54,0.72
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x3.yaml,<font color='red'>combination_77</font> (Actual: <font color='blue'>combination_127</font>),0.78,0.65,0.65
model_schedules_m_resnet50_resnext50_x3.yaml,<font color='purple'>combination_4</font>,1.0,0.7,0.86
model_schedules_m_r_t_y_x3.yaml,<font color='purple'>combination_16</font>,1.0,0.97,0.81
model_schedules_resnet50_x3.yaml,<font color='purple'>combination_2</font>,1.0,0.18,0.96
model_schedules_resnext50_x3.yaml,<font color='purple'>combination_2</font>,1.0,0.0,1.0
model_schedules_r_t_v_y_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_11</font>),0.91,0.77,0.76
model_schedules_shufflenet-v2-12_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_squeezenet1.0-12_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_tiny-llama-chat-onnx_x3.yaml,<font color='purple'>combination_2</font>,1.0,0.0,1.0
model_schedules_vgg19_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_yolov4_x3.yaml,<font color='purple'>combination_1</font>,1.0,1.0,0.8
