Top-1 Accuracy,0.7273
Top-5 Accuracy,0.7273
Top-1 Accuracy (>= 3 models),0.25
Top-5 Accuracy (>= 3 models),0.25
Average (>= 8 models),,nan,nan,nan
Average (>= 7 models),,nan,nan,nan
Average (>= 6 models),,nan,nan,nan
Average (>= 5 models),,nan,nan,nan
Average (>= 4 models),,0.95,0.08,0.93
Average (>= 3 models),,0.95,0.68,0.81
Average,,0.98,0.55,0.87
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_rb_3x.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_rbrs_3x.yaml,<font color='purple'>combination_4</font>,1.0,0.0,1.0
model_schedules_rbrsyb_3x.yaml,<font color='red'>combination_13</font> (Actual: <font color='blue'>combination_10</font>),0.97,0.9,0.79
model_schedules_rbrsybys_3x.yaml,<font color='purple'>combination_9</font>,0.95,0.08,0.93
model_schedules_rbybys_3x.yaml,<font color='red'>combination_12</font> (Actual: <font color='blue'>combination_5</font>),0.96,0.85,0.79
model_schedules_rs_3x.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_rsyb_3x.yaml,<font color='purple'>combination_5</font>,1.0,0.79,0.84
model_schedules_rsybys_3x.yaml,<font color='red'>combination_10</font> (Actual: <font color='blue'>combination_9</font>),0.91,0.87,0.74
model_schedules_yb_3x.yaml,<font color='purple'>combination_3</font>,1.0,0.91,0.82
model_schedules_ybys_3x.yaml,<font color='purple'>combination_5</font>,1.0,0.76,0.85
model_schedules_ys_3x.yaml,<font color='purple'>combination_2</font>,1.0,0.91,0.82
